phone;amount;comment
79364445139;"   66344";error
79392398126;"   26794";import
79614615770;21579   ;error
79786749457;оплата;test
79474945498;N/A;manual
79191189070;"   6617   ";test
79841258741;"   5077   ";test
79546599193;сумма;error
79258558762;"   11655";manual
79314511716;"   16161   ";ok
" 8 800 550 98 59";оплата;error
79065136423;N/A;error
79818738817;N/A;manual
79527137550;сумма;ok
79906369372;сумма;error
79562466970;"   62570";manual
79710264635;N/A;ok
79839054839;"   93254";ok
" 8 800 324 90 20";сумма;test
79541837130;оплата;test
+7 940  9205820;"   2933   ";ok
79230470890;"   18726";import
79022248732;сумма;ok
" 8 800 491 10 25";сумма;manual
79921847739;N/A;test
79368683953;"   29002   ";import
79997237211;N/A;test
+7 999  7823009;N/A;manual
+7 927  8239515;94159   ;ok
79609279167;"   15717   ";import
+7 946  9674018;"   83076";manual
79737798187;"   53841";ok
" 8 800 672 78 49";"   53243";import
79174962227;сумма;error
" 8 800 182 67 89";22167   ;test
79638331425;сумма;import
79792884658;оплата;manual
" 8 800 255 97 87";"   15983   ";ok
79861587971;"   85332";import
79746213935;оплата;test
" 8 800 498 66 96";"   20483   ";error
" 8 800 357 96 82";сумма;ok
+7 924  4654442;оплата;test
79627802995;N/A;ok
79385211355;N/A;manual
79344254542;N/A;error
" 8 800 192 93 93";N/A;manual
" 8 800 503 70 21";N/A;ok
79334512398;оплата;import
+7 991  6746833;N/A;ok
79447499049;"   47590";import
79441022463;"   72209";ok
79320171982;33331   ;ok
79504420550;сумма;manual
79810930211;N/A;manual
79624875769;50824   ;error
" 8 800 285 51 27";оплата;error
+7 996  6666273;"   38197";test
+7 920  7520348;оплата;error
" 8 800 695 13 97";N/A;test
79281426323;"   42688";import
+7 916  4452120;оплата;test
" 8 800 602 89 39";94347   ;error
79381439065;51691   ;test
79586499177;"   27767   ";manual
79661928578;"   37155";manual
79583784991;N/A;manual
79608386362;"   67148";test
" 8 800 290 61 82";"   85553";test
79274569200;"   84202";import
" 8 800 769 64 70";23665   ;error
+7 937  3969697;сумма;ok
+7 954  9682845;42716   ;ok
79386127717;"   30308   ";import
" 8 800 478 38 22";"   37510   ";manual
+7 928  9448902;оплата;test
" 8 800 711 76 37";90030   ;test
79897774796;"   26719";manual
79466472861;сумма;ok
79939644132;оплата;test
+7 942  7690144;47080   ;manual
" 8 800 719 86 33";N/A;error
" 8 800 492 88 45";N/A;ok
+7 952  7932442;сумма;manual
+7 947  4701541;оплата;error
79326961929;"   70563";import
" 8 800 630 41 10";сумма;import
79453031714;"   42728   ";test
+7 987  2763684;оплата;manual
+7 986  9137653;"   80232";ok
+7 950  9031850;"   33944   ";manual
79553678926;оплата;error
79542132938;сумма;manual
79751117473;N/A;ok
79408252690;"   22977   ";error
+7 923  4681604;"   31475";error
+7 998  5024981;N/A;test
79241588472;"   26481   ";import
79633289629;N/A;error
79567254415;97775   ;ok
79935375683;N/A;manual
+7 983  7968231;N/A;import
+7 927  9969979;"   78244";manual
79232616146;39941   ;manual
79487946311;сумма;error
" 8 800 949 38 28";35357   ;import
" 8 800 718 44 83";"   32885   ";error
79287600032;сумма;error
+7 944  1783732;оплата;ok
" 8 800 103 29 77";6307   ;import
" 8 800 621 89 42";оплата;error
" 8 800 660 93 15";"   74392";ok
79227172248;N/A;ok
+7 999  6735111;70227   ;manual
79643602128;N/A;test
79838624272;оплата;error
79213325955;"   32495";manual
+7 996  4708261;"   11891   ";error
79482356035;"   41679   ";import
" 8 800 293 47 30";"   21204";manual
79243703051;12158   ;error
79687964734;"   25744   ";ok
79124772444;N/A;import
" 8 800 833 64 49";"   18683   ";manual
+7 988  8326799;сумма;manual
" 8 800 337 44 86";оплата;error
79538473108;сумма;manual
79118525341;"   3647";test
79513152543;"   96520";error
79075423778;оплата;manual
79172366107;оплата;manual
+7 928  8808159;"   24906";manual
" 8 800 133 83 80";"   1439   ";error
" 8 800 489 21 25";"   53733";manual
+7 943  7998609;N/A;import
79242242817;85376   ;test
79800631723;сумма;error
+7 944  7394829;25885   ;ok
79663935447;"   58761";import
79222883278;сумма;import
79579850492;"   25792   ";error
" 8 800 490 32 72";оплата;manual
79225572241;сумма;manual
79764308885;сумма;import
+7 919  8292922;"   40817   ";import
79197403368;оплата;test
" 8 800 703 98 86";"   73960";import
79735426299;92349   ;manual
" 8 800 686 32 14";"   60469";ok
" 8 800 294 69 55";"   61153";ok
79619963431;сумма;test
79419741821;"   6762";ok
+7 976  5552104;"   83180";import
" 8 800 295 73 77";13705   ;manual
79891909926;оплата;test
+7 999  6663188;N/A;test
79752195676;"   49166";test
+7 985  2606865;сумма;test
" 8 800 718 92 22";25270   ;test
79250803578;"   41579";import
" 8 800 760 19 71";N/A;test
79312226588;оплата;ok
79600693690;сумма;test
" 8 800 926 53 28";"   8803   ";error
79215328580;оплата;import
+7 962  1122941;N/A;test
79490291914;сумма;ok
+7 941  1232352;18337   ;ok
" 8 800 403 88 51";"   27231   ";error
79018046389;92553   ;error
" 8 800 238 96 97";сумма;ok
79288623200;сумма;manual
+7 998  3824037;"   22111   ";manual
79475186850;"   42112   ";import
79481667837;37278   ;manual
" 8 800 420 74 51";оплата;ok
+7 992  5274761;83528   ;error
" 8 800 204 85 24";оплата;error
79733022893;оплата;import
79228440826;"   42724   ";ok
+7 932  5039890;оплата;import
+7 914  4294153;оплата;import
79354095819;53340   ;test
79251212075;оплата;manual
79269733660;N/A;test
79417979787;оплата;test
79473795871;N/A;test
+7 933  3726548;33081   ;ok
79172538126;сумма;manual
" 8 800 531 56 58";"   35713";error
+7 997  9123007;N/A;test
79840552776;"   16925   ";ok
79370483907;"   40767";error
79291603336;90543   ;manual
79757284845;сумма;error
79993775235;сумма;manual
+7 968  4932048;сумма;manual
+7 976  4628166;"   31069";test
79625463476;оплата;error
" 8 800 273 63 11";57150   ;ok
" 8 800 910 73 47";12886   ;error
" 8 800 319 23 10";сумма;manual
79963433087;оплата;import
79634633053;"   33433   ";ok
" 8 800 925 94 43";63598   ;ok
79883871281;49445   ;test
" 8 800 964 98 14";оплата;error
" 8 800 603 38 74";оплата;ok
79495518899;"   51095";test
79326876489;11410   ;error
79126956087;47731   ;error
79727575742;"   82116";error
79597882069;"   30022   ";error
79201997697;"   1205   ";error
79313417550;сумма;error
79632199727;63676   ;ok
79872636153;"   18085";ok
79274698636;N/A;import
+7 910  7561220;оплата;test
79224874394;"   45354";error
79181744870;10774   ;import
" 8 800 923 49 15";32221   ;manual
79835284964;"   47857   ";ok
" 8 800 430 33 50";сумма;ok
79534807547;"   22973   ";ok
79177141677;оплата;import
+7 938  3999903;N/A;import
79847826306;сумма;manual
+7 912  6577291;оплата;error
79686426750;оплата;test
+7 911  7187790;оплата;manual
79329143021;сумма;manual
79476248294;"   70773";test
+7 976  8414571;оплата;error
+7 935  8446002;N/A;test
79267816806;"   93127";error
+7 967  3265408;сумма;import
79617428934;"   10052   ";manual
+7 918  2536270;N/A;import
79663927204;оплата;test
79665713863;"   9449   ";ok
+7 995  4842890;сумма;manual
+7 949  4430183;"   44995   ";import
+7 960  3568863;сумма;error
+7 915  4577985;N/A;test
" 8 800 258 30 30";сумма;import
79185801784;30381   ;ok
" 8 800 298 36 55";сумма;test
79640188793;"   7462   ";error
" 8 800 465 93 80";сумма;manual
79680562890;сумма;error
79665022359;N/A;test
79392775317;"   26978   ";import
79768282422;сумма;manual
" 8 800 555 77 26";35102   ;error
" 8 800 354 49 38";"   17069   ";ok
+7 989  4635740;сумма;manual
79127416943;оплата;test
+7 931  9445542;N/A;test
+7 924  4924056;"   49992   ";test
" 8 800 835 24 29";"   26089";ok
" 8 800 866 57 97";94712   ;ok
79853791850;"   62496";error
" 8 800 165 11 14";оплата;error
79276263369;сумма;ok
" 8 800 925 45 62";"   4054";ok
79460244474;сумма;import
79541159015;N/A;error
" 8 800 113 43 20";42650   ;test
79654092403;29733   ;test
" 8 800 202 42 67";N/A;ok
+7 967  6263923;67666   ;ok
79606905501;N/A;manual
79767821059;27864   ;test
79973608810;оплата;error
" 8 800 292 54 19";"   37646   ";error
79720025291;оплата;test
" 8 800 265 24 22";"   26874   ";import
+7 926  8338179;45787   ;import
+7 996  2075964;"   16549";manual
+7 971  4559988;оплата;ok
79140279883;оплата;test
79667579882;оплата;manual
79401078385;"   18382";test
79321357647;31798   ;manual
79409320078;N/A;ok
79115873142;"   36500   ";test
79555256128;90734   ;ok
" 8 800 830 31 55";сумма;error
+7 958  1991456;N/A;manual
" 8 800 396 18 67";N/A;import
" 8 800 355 43 16";оплата;error
+7 979  7524601;оплата;test
79201076958;"   45545   ";test
79481449485;оплата;manual
79411541954;сумма;manual
79146221668;"   23385   ";error
79876378966;2474   ;import
79849538447;"   74808";manual
79374482199;"   42675";ok
79889303921;N/A;import
" 8 800 918 84 60";сумма;ok
79270927922;"   14208   ";import
79055417235;"   27176   ";error
79200719759;N/A;manual
79451270716;N/A;manual
+7 935  7927142;"   44399";import
+7 914  8804004;15637   ;test
79993355454;оплата;manual
79233464634;74243   ;import
+7 951  5603325;"   39362";error
79715133144;81858   ;manual
+7 923  2266737;оплата;test
" 8 800 996 17 55";N/A;test
79594438549;оплата;import
79550823235;оплата;import
79565757736;"   72495";manual
" 8 800 862 55 71";N/A;ok
79778429391;оплата;ok
79997037612;N/A;ok
" 8 800 274 74 98";сумма;manual
+7 969  2546029;оплата;error
79433556622;"   16269   ";test
79365169737;N/A;error
+7 977  9673221;90170   ;error
+7 937  8715521;"   33003   ";ok
+7 968  2095388;14793   ;test
+7 947  6116121;"   19047   ";ok
79849747949;68134   ;import
79284377058;"   34327   ";test
+7 990  2948665;оплата;error
79036840993;сумма;ok
+7 948  8693930;5914   ;error
79401153401;оплата;ok
79595526095;"   52054";manual
79375422663;72834   ;import
+7 966  3630199;82899   ;manual
79408339026;"   31330   ";ok
" 8 800 341 12 20";29845   ;import
+7 974  9231272;сумма;test
79406497722;85910   ;ok
79220241080;сумма;ok
79097090256;оплата;import
79693386002;N/A;import
79109033256;"   45381";import
79203165398;"   21055   ";test
79892546559;оплата;import
79884965492;"   71526";test
79355447698;84399   ;ok
79905658115;"   34511";import
79279287193;сумма;test
" 8 800 934 45 90";"   22078   ";error
" 8 800 236 38 53";"   43157";ok
79705995515;оплата;error
79865764416;оплата;manual
79921326730;N/A;manual
" 8 800 737 32 15";оплата;ok
79297633791;сумма;import
" 8 800 657 81 38";"   21708";import
79476316135;27159   ;test
79905291995;90374   ;import
" 8 800 991 36 87";40834   ;test
79271455843;64461   ;manual
" 8 800 519 29 84";N/A;error
79884323737;оплата;import
79407087723;61765   ;import
79283097856;"   26505   ";test
79015604761;N/A;import
79961593507;"   81680";test
+7 959  6962153;оплата;error
79696293262;оплата;manual
79049124768;"   94314";import
79559063314;"   32565";error
79638786792;"   32177   ";test
" 8 800 746 71 69";19663   ;import
79703296650;37487   ;import
+7 976  8678251;"   83572";manual
79735751830;"   2487";test
79548164544;оплата;error
79523660913;"   53123";test
79192582845;"   50545";test
79445913294;"   42213";ok
+7 982  9304755;33382   ;error
+7 964  5642096;"   75870";ok
+7 956  5023851;"   52340";error
" 8 800 988 58 80";оплата;test
+7 998  1428446;сумма;test
+7 942  6205708;оплата;import
79212872237;сумма;error
+7 940  4456799;оплата;manual
79625578875;сумма;ok
+7 957  6270734;N/A;ok
79190331578;сумма;test
79173774492;сумма;ok
+7 957  1508046;"   11847   ";import
+7 964  7073829;"   30615   ";test
79803271079;"   3224   ";error
79787355734;16445   ;import
79945719530;сумма;import
79972881437;оплата;test
" 8 800 175 53 70";оплата;ok
79001952946;оплата;test
+7 923  9294016;оплата;test
+7 980  7139725;N/A;manual
" 8 800 630 54 78";41570   ;manual
79258598604;"   12989";manual
79468507118;оплата;error
79551988624;65392   ;import
+7 976  1255780;оплата;ok
79615174816;оплата;ok
79451256169;"   9077   ";manual
+7 973  2082838;N/A;manual
79449780387;сумма;manual
79194729738;сумма;test
+7 952  8443223;"   13303";test
79300522805;сумма;test
79760359668;N/A;error
79839362559;оплата;error
" 8 800 677 45 95";14484   ;ok
" 8 800 321 13 66";57154   ;error
79914949346;оплата;test
" 8 800 833 27 27";оплата;manual
79706578266;оплата;import
79033711851;"   15792   ";manual
" 8 800 192 70 61";N/A;import
79720480046;N/A;error
79182438384;91049   ;import
" 8 800 787 18 20";N/A;import
" 8 800 280 77 97";сумма;ok
79639175246;"   15192";ok
79985773582;N/A;manual
79469654499;сумма;import
" 8 800 436 98 76";сумма;error
79457475168;N/A;test
79763946493;"   27081   ";import
79946013802;оплата;manual
" 8 800 234 19 19";81146   ;manual
79832047893;N/A;error
79376637813;сумма;test
79088982627;сумма;error
+7 910  4972407;"   30008   ";import
79519703678;оплата;manual
79364615642;29345   ;error
79219960050;оплата;import
79763682147;95742   ;error
" 8 800 195 16 14";"   85332";error
" 8 800 305 22 44";N/A;import
+7 916  7061535;N/A;manual
79662195210;N/A;ok
+7 997  9115774;N/A;error
79903726880;оплата;error
79821688356;сумма;test
+7 986  1587853;12295   ;ok
79676200321;50689   ;ok
+7 962  2406316;19130   ;test
79248412651;сумма;import
79242341938;63489   ;test
+7 939  5436296;N/A;manual
79789128416;"   31296   ";import
+7 937  6578793;"   11898   ";ok
79460297115;"   47210   ";ok
" 8 800 292 98 18";оплата;test
79725384522;сумма;import
79156921794;сумма;manual
+7 968  9470785;"   25299   ";error
79163547419;оплата;test
79853839411;"   23180   ";import
" 8 800 710 67 23";93197   ;manual
79763447833;"   44296";test
79591450834;сумма;test
" 8 800 377 40 43";оплата;import
+7 970  9110243;оплата;manual
" 8 800 780 60 98";сумма;ok
79583536859;"   32670   ";manual
+7 996  6978098;11595   ;manual
+7 953  6971071;сумма;test
" 8 800 858 74 53";"   95530";import
79986694140;52742   ;ok
79486482096;сумма;error
+7 944  4381566;"   55474";test
" 8 800 375 26 82";95747   ;manual
+7 946  2120737;"   3235   ";manual
+7 935  2585006;"   4796   ";ok
+7 917  7392781;оплата;ok
79886271634;98068   ;manual
+7 942  8131179;сумма;test
79978908648;67772   ;manual
+7 945  3687345;N/A;manual
+7 914  6472430;оплата;ok
79139215725;"   3214";ok
+7 921  2124777;"   47980   ";manual
79349658797;оплата;manual
79114612449;43885   ;ok
79807905415;"   10570   ";error
" 8 800 203 90 30";оплата;ok
" 8 800 578 25 21";"   11088   ";error
" 8 800 311 33 88";N/A;ok
+7 936  2233287;60845   ;test
79026945035;сумма;error
79471419871;сумма;ok
79532554005;56195   ;error
79769149227;N/A;ok
79932551134;N/A;test
+7 932  9503789;31361   ;test
79888134563;"   30272   ";test
+7 955  3269491;оплата;error
79287741850;N/A;error
" 8 800 751 89 22";"   4874   ";import
79375583598;"   10901   ";manual
" 8 800 459 28 77";N/A;error
79411173571;N/A;ok
79865887886;сумма;error
79829156257;сумма;test
79812623478;"   30061   ";manual
" 8 800 914 19 81";оплата;manual
+7 928  1824466;оплата;error
79728065613;"   70743";test
+7 917  7667913;оплата;ok
79868146663;сумма;test
" 8 800 542 95 32";89687   ;error
" 8 800 176 48 43";"   17032   ";ok
+7 926  9310003;оплата;error
+7 948  5460892;"   96404";error
79954298687;62103   ;ok
79573101965;сумма;error
79371197254;16241   ;ok
79552856390;"   39379   ";ok
79994646878;65217   ;manual
79741204197;89041   ;test
79599208246;20310   ;error
79948076628;оплата;import
" 8 800 680 32 62";оплата;ok
79829960052;сумма;test
79380590484;"   37450   ";test
+7 968  6573920;"   32869   ";import
" 8 800 672 90 58";"   28640   ";manual
79431629413;сумма;error
79199229410;"   39987   ";manual
+7 974  4660523;43064   ;ok
+7 914  9174867;оплата;import
" 8 800 434 33 49";"   53665";import
79513717213;"   27382";error
+7 987  1367195;"   37868   ";import
79817384760;оплата;error
79834223076;оплата;manual
+7 982  3712268;сумма;manual
+7 986  9731577;оплата;ok
+7 928  5670467;оплата;error
" 8 800 699 19 63";оплата;error
+7 975  8244466;оплата;import
79567896788;сумма;manual
79707219984;"   1584   ";error
" 8 800 377 56 46";18479   ;manual
79127202849;N/A;manual
79457028830;"   46003";import
+7 929  9652395;"   98905";test
79985702730;оплата;import
+7 961  2692103;28751   ;import
79731505968;оплата;test
+7 920  9884587;63365   ;test
+7 914  4545070;сумма;import
79658694813;N/A;error
" 8 800 190 86 67";"   75214";test
79928825868;45336   ;import
79965556842;N/A;import
79678224102;"   39676   ";test
+7 991  3657123;"   42836   ";manual
79701655933;N/A;import
+7 999  6799510;"   24262";manual
79942609913;84775   ;manual
79252765820;оплата;test
79082246493;"   4269";import
79431806959;N/A;test
79206814445;оплата;test
+7 978  6920604;сумма;ok
79068408833;сумма;error
79447826121;"   9339";test
" 8 800 341 64 50";"   21251   ";manual
79584304380;"   35063   ";manual
79712015226;40341   ;import
79196271007;оплата;error
" 8 800 247 75 83";оплата;error
79719706212;"   13610   ";import
" 8 800 964 51 51";оплата;error
+7 939  1661219;оплата;error
" 8 800 223 83 48";оплата;error
+7 924  1544344;81548   ;error
79825969307;85711   ;test
79279117635;оплата;manual
+7 988  5133835;45594   ;test
79941661829;"   27279   ";ok
" 8 800 555 42 85";сумма;manual
+7 922  4619752;сумма;import
79839817416;6533   ;test
" 8 800 762 53 62";98923   ;error
+7 963  3356609;"   30308   ";error
79970122349;N/A;test
79397009412;52324   ;error
79230375329;оплата;ok
79107456318;"   40454   ";manual
79339802711;59332   ;manual
79517845045;N/A;test
79418951606;оплата;ok
79308503853;N/A;ok
+7 918  3672544;оплата;import
+7 974  2014442;оплата;error
" 8 800 251 41 47";"   56643";error
+7 987  4812526;"   29492   ";manual
79601193429;оплата;test
79968428213;оплата;error
+7 929  8506678;"   13841   ";manual
+7 981  7149596;N/A;ok
+7 957  1750593;оплата;test
79707111206;33773   ;ok
79929505478;"   73619";error
+7 963  6214866;сумма;manual
" 8 800 895 56 98";"   28989   ";import
79524682540;сумма;error
+7 926  4550589;оплата;test
79955099985;"   20226   ";error
79225062992;"   39065   ";manual
" 8 800 800 16 11";"   30951   ";manual
79621122352;сумма;error
79268456423;"   8864   ";test
+7 959  2628276;сумма;import
79869963334;сумма;ok
79715596689;79001   ;error
79148177226;32369   ;ok
" 8 800 590 47 90";сумма;manual
+7 915  2776026;оплата;import
" 8 800 931 21 41";"   28819";manual
79164841432;"   47589";manual
79247410839;"   13689";manual
79187353974;"   17271   ";import
79404062524;"   16499   ";import
79288886737;сумма;test
" 8 800 205 81 31";49011   ;manual
" 8 800 291 95 15";оплата;test
+7 921  3293664;39904   ;import
79174415076;"   7528   ";import
79891728219;"   80739";manual
79650252875;"   34412   ";ok
" 8 800 142 20 97";"   49093";error
79947123510;"   90789";manual
79245179275;N/A;import
79640211836;N/A;test
" 8 800 601 65 53";оплата;import
79292202951;38224   ;ok
79767877212;N/A;import
79841519033;N/A;import
79448504962;оплата;ok
79642205429;N/A;manual
+7 950  9654876;"   25234";ok
79475257495;"   27167   ";manual
79954828737;N/A;ok
79884509227;62461   ;manual
79161251656;N/A;test
+7 929  9348504;оплата;test
79535419482;N/A;ok
" 8 800 184 61 58";"   5721   ";ok
79507711738;сумма;import
+7 976  3344199;N/A;import
+7 921  6655655;20465   ;manual
" 8 800 301 94 46";72940   ;manual
" 8 800 401 25 77";оплата;manual
+7 993  3511107;"   33132   ";test
79289096996;92654   ;test
79330809232;"   35262   ";ok
79396369921;"   30627";import
79046923162;"   21741   ";error
" 8 800 391 75 47";"   8264";test
79838841702;сумма;test
+7 939  7066688;оплата;manual
" 8 800 353 61 98";66101   ;import
" 8 800 995 42 91";оплата;ok
79201296816;"   91613";test
" 8 800 887 81 34";"   17420";manual
" 8 800 812 80 65";"   31390   ";ok
" 8 800 724 38 86";сумма;error
79461615782;оплата;test
" 8 800 236 29 44";"   42947   ";ok
+7 915  1940775;сумма;error
" 8 800 120 49 50";"   67066";ok
79231744783;"   7904   ";import
+7 941  3708629;"   13993";error
" 8 800 434 96 99";N/A;ok
" 8 800 440 88 34";"   22436";manual
+7 940  4570372;N/A;error
" 8 800 572 16 41";N/A;import
+7 962  6866634;сумма;manual
79547016728;"   91881";manual
